Type,Air_temperature__K_,Process_temperature__K_,Rotational_speed__rpm_,Torque__Nm_,Tool_wear__min_,Machine_failure
M,300.7,311.9,1366,55.1,36,0
L,298.5,309.5,1547,33.1,68,0
M,300.7,310.6,1609,27.6,108,0
M,299.7,309.2,1597,32.9,135,0
L,297.9,307.6,1515,40.5,118,0
M,297.7,309.2,1732,28.8,152,0
L,299,308.7,1426,38.6,16,0
L,302.5,310.3,1326,58.5,55,1
L,300.5,311.7,1445,44.8,83,0
L,301.8,310.1,1738,28,58,0
L,298.8,309.4,1387,54.1,171,0
L,299.6,309.1,1369,51.4,164,0
L,301.1,310.1,1540,36.6,28,0
M,300.5,310,1406,50.2,119,0
L,301.7,309.9,1317,49,187,1
L,298.9,308.6,2069,18.7,27,0
L,299.6,311.1,1679,30.7,129,0
L,298.8,310.2,1461,46.7,105,0
L,298.2,308.4,1424,47.6,179,0
L,301.5,310.5,1593,32.9,155,0
L,297.1,308,1348,58,162,0
L,302.8,310.6,1617,37.9,207,0
L,300.9,310.4,2021,18.8,30,0
M,303.3,312.6,1397,47.1,137,0
L,297.4,308,1383,46.2,188,0
L,298.8,309.1,1477,42.4,158,0
L,298,307.7,1492,38.7,202,0
H,295.6,306.2,1632,32.2,76,0
L,301.5,310.5,1380,48.7,160,0
L,300.9,311.3,1953,19.4,107,0
L,297.4,308.3,1336,53.7,61,0
M,298.3,309.3,1376,57,198,0
L,298,308.6,1610,33.1,56,0
L,303.2,311.2,1404,50.9,31,0
L,298.8,309.1,1378,54.4,165,0
L,298.1,308.4,1436,46.7,103,0
M,303.3,311.3,1566,46.1,41,0
L,300,311.5,1591,32,79,0
L,297.1,308.2,1399,42.6,194,0
L,300.8,310.6,1360,48.8,91,0
L,302.4,311.9,1290,70,139,1
H,298.8,310.1,1380,44,56,0
M,303.5,311.6,1562,34.2,107,0
L,298.2,308.8,1345,44.3,37,0
M,302.2,311.3,1510,36.6,91,0
L,304.2,313.4,1735,28.9,192,0
L,299.7,310.3,1505,37.7,4,0
L,297,307.8,1609,35.6,193,0
M,300.8,310.6,1545,37.5,155,0
M,300.8,309.9,1444,46,180,0
H,303.3,312.5,1328,49.8,120,0
L,303.4,312.7,1363,45.5,26,0
H,298.3,309,1379,43.2,0,0
L,300.9,310.6,1552,34.9,95,0
M,302.7,312,1652,31,81,0
M,303.7,312.8,1685,31.8,203,0
L,300.2,309.4,1526,35.3,46,0
L,299.4,309.3,1596,31.8,40,0
M,303.7,312.7,1532,42.7,194,0
L,300.7,309.7,1507,52.4,163,0
M,296.9,308.1,1483,44.3,219,0
L,303.4,311.9,1434,44.6,78,0
L,297.8,307.4,1512,40.8,137,0
L,302.7,311,1694,29.8,150,0
L,298.8,308.9,1398,51.5,0,0
M,298.3,307.7,1439,43.8,111,0
L,299.6,310.6,1642,35.1,149,0
M,300.1,309.6,1622,36.1,43,0
L,299.7,309,1412,49.2,85,0
L,300.5,309.6,1366,50.2,219,0
M,301,311,1423,38.6,199,0
M,301.7,310.8,1502,34.4,157,0
M,302,310.8,1783,23.1,190,0
H,302.4,310.9,1444,40.7,174,0
M,302.6,310.2,2157,17.2,94,0
L,302.4,311,1475,47.9,79,0
M,297.7,309,1636,29.7,32,0
L,298.6,309.4,1525,37.8,54,0
H,299.4,309.3,1743,28.2,0,0
L,298.3,308.3,1432,46.9,65,0
L,296.2,306.9,1516,39.1,138,0
L,302.7,312.2,1572,34.4,228,0
L,298.1,309,1559,34,54,0
H,300.6,311.7,1427,44.6,87,0
M,299.9,311.3,1389,50,55,0
M,301.1,311.1,1384,42.5,185,0
M,299.8,309.3,1470,42.7,119,0
M,297.6,308.5,1848,23.7,37,0
L,301.2,311.6,1461,52.9,208,1
L,300.2,311.4,1433,37.9,36,0
L,300.5,309.9,1480,40,148,0
L,297.9,308.5,1305,47.2,155,0
L,300.1,311.5,1549,34.7,189,0
M,300.7,311.7,2097,18.9,232,1
L,297.6,308.3,1617,31.7,39,0
L,303.4,311.6,1564,41.9,137,0
L,302.1,311.3,1477,43.6,196,0
H,298.9,310.2,1532,37.7,166,0
M,296,306.6,1628,36.8,121,0
L,299.8,310.9,1545,40.7,166,0
M,302.3,311.6,1608,39.9,136,0
M,298,308.1,1552,36.6,190,0
L,298.1,308.7,1642,30.3,3,0
M,300.1,309.6,1625,38,46,0
M,299.2,308.8,1314,52.5,193,0
L,298.6,309.5,1687,29.3,47,0
L,298,309.2,1458,39.8,87,0
L,296.9,308,1546,31.1,11,0
L,302.8,312.1,1418,51.4,54,0
M,301.2,310.9,1359,50.8,118,0
M,301.5,310.5,1600,32.8,205,0
M,300.4,310.5,1540,33.4,32,0
M,298.7,309.8,1528,36.7,197,0
L,298.9,310,2231,17.4,151,0
L,298.2,308.7,1407,45.1,49,0
M,297.2,308.5,1425,45.8,109,0
L,300.3,311.5,1446,45,82,0
L,298,309.2,1527,39.5,85,0
L,297.5,308.7,1456,44.7,29,0
L,298.7,308.5,1483,42.5,46,0
H,298.9,308.6,1623,31,180,0
L,301.6,310.9,1538,40.4,13,0
H,300.8,311.1,1698,24.8,156,0
M,298.7,309.9,1458,40.2,137,0
M,297.5,309.4,1482,39.3,112,0
L,298.1,308.9,1367,41.9,113,0
H,301.2,310.6,1457,50.5,114,0
L,297.3,308.7,1619,31.6,129,0
H,296.6,307.7,1386,62.3,100,1
M,302.3,311.3,1444,43.1,115,0
L,303.4,311.9,1771,31.6,202,0
M,296.6,307.5,1734,27,50,0
L,298.2,308.2,1667,30.6,59,0
L,302.8,312.2,1515,36.8,162,0
M,303.3,311.8,1536,40.6,205,0
M,301.1,311.3,1389,53.3,8,0
M,301.3,311.1,1438,43,137,0
L,300.7,310.3,1533,35.6,198,0
L,299.8,310.5,1496,38.8,215,0
L,304,312.8,1542,42.7,198,0
H,298.4,307.7,1626,31.1,166,0
L,297.3,308,1447,49,61,0
M,301.2,310.7,1426,46.1,67,0
L,299.1,310.3,1411,42.1,74,0
M,298.6,309.7,1422,49.7,139,0
H,304.1,313.3,1397,49.6,34,0
M,302.3,311.2,1546,40,71,0
M,301.5,310.6,1382,58.1,67,0
L,301,310.4,1563,34.4,124,0
M,300.2,309.5,1630,28.3,51,0
M,295.8,306.5,1641,32.2,101,0
M,301,312.2,1629,32.6,69,0
M,300.7,310.6,1778,27.1,215,0
L,300.9,310.9,1995,20.2,105,0
M,300.8,310.9,1678,28.1,63,0
M,301.4,310.4,1553,44.7,173,0
H,300.7,311.7,1864,23.6,47,0
L,300.5,309.3,1574,33.5,101,0
L,298.5,309.6,1421,53.6,122,0
H,297.2,308.1,1770,27.2,140,0
M,300.7,309.6,1996,19.8,203,1
M,300.7,310.6,1484,38,84,0
L,299.6,310.2,1381,60.5,13,0
L,299.8,311.1,1588,38,183,0
L,302.3,311.2,1903,22.9,55,0
M,299.1,310.3,1838,24,235,0
M,300.1,309.4,1349,56.2,127,0
L,297.6,308.5,1452,42.6,116,0
M,298.6,309.4,1407,45.1,176,0
H,300.5,309.4,1642,36.2,103,0
M,302.2,310.6,1346,49.2,134,1
M,301.9,310.9,1483,37,35,0
L,302.6,310.4,1359,57.2,67,1
L,301.2,310.8,1233,64.6,45,0
L,299.5,309.3,1422,49.2,179,0
L,301.7,311,1474,42.6,164,0
M,299.4,309,1939,19.8,204,0
M,300,309.5,1425,40.8,178,0
L,299.2,308.7,1492,37.8,91,0
M,302.5,311.8,1566,37.6,54,0
L,302.5,310.3,1523,36,72,0
L,301.9,310.9,1309,48,124,0
M,302.4,311.8,1453,42.1,105,0
